"","site","year","zone","transect","CA_MPA_Name_Short","site_status","site_designation","SPUL_bio","SPUL_legal_bio","ALLURCH","MACPYRAD","MESFRAAD","PANINT","SPUL","SPUL_legal","STRPURAD"
"137","ANACAPA_ADMIRALS_CEN",2004,"INNER","1","Anacapa Island SMCA","reference","SMCA",0,0,0,0,0,0,0,0,0
"138","ANACAPA_ADMIRALS_CEN",2004,"INNER","2","Anacapa Island SMCA","reference","SMCA",0,0,0,0,0,0,0,0,0
"139","ANACAPA_ADMIRALS_CEN",2004,"INNER","3","Anacapa Island SMCA","reference","SMCA",0.000216365575229538,0,0,0,0,0,1,0,0
"140","ANACAPA_ADMIRALS_CEN",2004,"INNER","4","Anacapa Island SMCA","reference","SMCA",0,0,0,0,0,0,0,0,0
"141","ANACAPA_ADMIRALS_CEN",2004,"OUTER","1","Anacapa Island SMCA","reference","SMCA",0,0,0,0,0,0,0,0,0
"142","ANACAPA_ADMIRALS_CEN",2004,"OUTER","2","Anacapa Island SMCA","reference","SMCA",0,0,0,0,0,0,0,0,0
"143","ANACAPA_ADMIRALS_CEN",2004,"OUTER","3","Anacapa Island SMCA","reference","SMCA",0.112875267932676,0.112875267932676,0,0,0,0,1,1,0
"144","ANACAPA_ADMIRALS_CEN",2004,"OUTER","4","Anacapa Island SMCA","reference","SMCA",0,0,0,0,0,0,0,0,0
"145","ANACAPA_ADMIRALS_CEN",2004,"OUTMID","1","Anacapa Island SMCA","reference","SMCA",0,0,0,0,0,0,0,0,0
"146","ANACAPA_ADMIRALS_CEN",2004,"OUTMID","2","Anacapa Island SMCA","reference","SMCA",0,0,0,0,0,0,0,0,0
"147","ANACAPA_ADMIRALS_CEN",2004,"OUTMID","3","Anacapa Island SMCA","reference","SMCA",0,0,0,0,0,0,0,0,0
"148","ANACAPA_ADMIRALS_CEN",2004,"OUTMID","4","Anacapa Island SMCA","reference","SMCA",0,0,0,0,0,0,0,0,0
"149","ANACAPA_ADMIRALS_CEN",2005,"INNER","1","Anacapa Island SMCA","reference","SMCA",0.00514683027759137,0,0,0,0,0,1,0,0
"150","ANACAPA_ADMIRALS_CEN",2005,"INNER","2","Anacapa Island SMCA","reference","SMCA",0.0263516529116701,0,0,0,0,0,4,0,0
"151","ANACAPA_ADMIRALS_CEN",2005,"INNER","3","Anacapa Island SMCA","reference","SMCA",0.00514683027759137,0,0,0,0,0,1,0,0
"152","ANACAPA_ADMIRALS_CEN",2005,"INNER","4","Anacapa Island SMCA","reference","SMCA",0.00648362808883566,0,0,0,0,0,1,0,0
"153","ANACAPA_ADMIRALS_CEN",2005,"OUTER","1","Anacapa Island SMCA","reference","SMCA",0.00802899617824369,0,0,0,0,0,1,0,0
"154","ANACAPA_ADMIRALS_CEN",2005,"OUTER","2","Anacapa Island SMCA","reference","SMCA",0.0559139776335467,0,0,0,0,0,2,0,0
"155","ANACAPA_ADMIRALS_CEN",2005,"OUTER","3","Anacapa Island SMCA","reference","SMCA",0,0,0,0,0,0,0,0,0
"156","ANACAPA_ADMIRALS_CEN",2005,"OUTER","4","Anacapa Island SMCA","reference","SMCA",0.00648362808883566,0,0,0,0,0,1,0,0
"157","ANACAPA_ADMIRALS_CEN",2006,"INNER","1","Anacapa Island SMCA","reference","SMCA",0,0,0,0,0,0,0,0,0
"158","ANACAPA_ADMIRALS_CEN",2006,"INNER","2","Anacapa Island SMCA","reference","SMCA",0,0,0,0,0,0,0,0,0
"159","ANACAPA_ADMIRALS_CEN",2006,"INNER","3","Anacapa Island SMCA","reference","SMCA",0,0,0,0,0,0,0,0,0
"160","ANACAPA_ADMIRALS_CEN",2006,"INNER","4","Anacapa Island SMCA","reference","SMCA",0,0,0,0,0,0,0,0,0
"161","ANACAPA_ADMIRALS_CEN",2006,"OUTER","1","Anacapa Island SMCA","reference","SMCA",0.0193752011218607,0,0,0,0,0,1,0,0
"162","ANACAPA_ADMIRALS_CEN",2006,"OUTER","2","Anacapa Island SMCA","reference","SMCA",0.0851528739259484,0,0,0,0,0,4,0,0
"163","ANACAPA_ADMIRALS_CEN",2006,"OUTER","3","Anacapa Island SMCA","reference","SMCA",0.0258601896895957,0,0,0,0,0,1,0,0
"164","ANACAPA_ADMIRALS_CEN",2006,"OUTER","4","Anacapa Island SMCA","reference","SMCA",0.041840227618587,0,0,0,0,0,2,0,0
"165","ANACAPA_ADMIRALS_CEN",2007,"INNER","1","Anacapa Island SMCA","reference","SMCA",0,0,1784,90,451,0,0,0,1333
"166","ANACAPA_ADMIRALS_CEN",2007,"INNER","2","Anacapa Island SMCA","reference","SMCA",0,0,1838,110,481,0,0,0,1357
"167","ANACAPA_ADMIRALS_CEN",2007,"INNER","3","Anacapa Island SMCA","reference","SMCA",0.00648362808883566,0,0,0,0,0,1,0,0
"168","ANACAPA_ADMIRALS_CEN",2007,"INNER","4","Anacapa Island SMCA","reference","SMCA",0,0,0,0,0,0,0,0,0
"169","ANACAPA_ADMIRALS_CEN",2007,"OUTER","1","Anacapa Island SMCA","reference","SMCA",0,0,156,0,86,0,0,0,70
"170","ANACAPA_ADMIRALS_CEN",2007,"OUTER","2","Anacapa Island SMCA","reference","SMCA",0.0118018644061535,0,495,0,224,0,1,0,271
"171","ANACAPA_ADMIRALS_CEN",2007,"OUTER","3","Anacapa Island SMCA","reference","SMCA",0.103820457580224,0.103820457580224,0,0,0,0,1,1,0
"172","ANACAPA_ADMIRALS_CEN",2007,"OUTER","4","Anacapa Island SMCA","reference","SMCA",0.0165771666001443,0,0,0,0,0,1,0,0
"173","ANACAPA_ADMIRALS_CEN",2008,"INNER","1","Anacapa Island SMCA","reference","SMCA",0,0,0,0,0,0,0,0,0
"174","ANACAPA_ADMIRALS_CEN",2008,"INNER","2","Anacapa Island SMCA","reference","SMCA",0,0,0,0,0,0,0,0,0
"175","ANACAPA_ADMIRALS_CEN",2008,"INNER","3","Anacapa Island SMCA","reference","SMCA",0,0,0,0,0,0,0,0,0
"176","ANACAPA_ADMIRALS_CEN",2008,"INNER","4","Anacapa Island SMCA","reference","SMCA",0,0,0,0,0,0,0,0,0
"177","ANACAPA_ADMIRALS_CEN",2008,"OUTER","1","Anacapa Island SMCA","reference","SMCA",0.0295741597212854,0,0,0,0,0,1,0,0
"178","ANACAPA_ADMIRALS_CEN",2008,"OUTER","2","Anacapa Island SMCA","reference","SMCA",0,0,0,0,0,0,0,0,0
"179","ANACAPA_ADMIRALS_CEN",2008,"OUTER","3","Anacapa Island SMCA","reference","SMCA",0.0674498549953434,0,0,0,0,0,2,0,0
"180","ANACAPA_ADMIRALS_CEN",2008,"OUTER","4","Anacapa Island SMCA","reference","SMCA",0,0,0,0,0,0,0,0,0
"181","ANACAPA_ADMIRALS_CEN",2009,"INNER","1","Anacapa Island SMCA","reference","SMCA",0.00304176533819001,0,2329,80,900,0,1,0,1429
"182","ANACAPA_ADMIRALS_CEN",2009,"INNER","2","Anacapa Island SMCA","reference","SMCA",0,0,2810,194,631,0,0,0,2179
"183","ANACAPA_ADMIRALS_CEN",2009,"INNER","3","Anacapa Island SMCA","reference","SMCA",0.0118018644061535,0,0,0,0,0,1,0,0
"184","ANACAPA_ADMIRALS_CEN",2009,"INNER","4","Anacapa Island SMCA","reference","SMCA",0.00979706888514642,0,0,0,0,0,1,0,0
"185","ANACAPA_ADMIRALS_CEN",2009,"OUTER","1","Anacapa Island SMCA","reference","SMCA",0.422075894610098,0.386822162091033,469,0,230,0,8,3,239
"186","ANACAPA_ADMIRALS_CEN",2009,"OUTER","2","Anacapa Island SMCA","reference","SMCA",0.156165448364199,0.0723564731742364,993,0,193,0,7,1,800
"187","ANACAPA_ADMIRALS_CEN",2009,"OUTER","3","Anacapa Island SMCA","reference","SMCA",0.0495073191125274,0,0,0,0,0,3,0,0
"188","ANACAPA_ADMIRALS_CEN",2009,"OUTER","4","Anacapa Island SMCA","reference","SMCA",0.00704610755249409,0,0,0,0,0,2,0,0
"189","ANACAPA_ADMIRALS_E",1999,"INNER","1","Anacapa Island SMCA","reference","SMCA",0.878074746975983,0.868277678090836,544,234,96,0,13,12,448
"190","ANACAPA_ADMIRALS_E",1999,"INNER","2","Anacapa Island SMCA","reference","SMCA",0,0,242,344,7,0,0,0,235
"191","ANACAPA_ADMIRALS_E",1999,"INNER","3","Anacapa Island SMCA","reference","SMCA",0.110157595490234,0,440,307,149,1,4,0,291
"192","ANACAPA_ADMIRALS_E",1999,"INNER","4","Anacapa Island SMCA","reference","SMCA",0,0,167,256,46,0,0,0,121
"193","ANACAPA_ADMIRALS_E",1999,"INNER","5","Anacapa Island SMCA","reference","SMCA",0,0,278,666,35,0,0,0,243
"194","ANACAPA_ADMIRALS_E",1999,"INNER","6","Anacapa Island SMCA","reference","SMCA",0.207696767603639,0.185231741106913,351,286,29,0,3,2,322
"195","ANACAPA_ADMIRALS_E",1999,"INNER","7","Anacapa Island SMCA","reference","SMCA",0,0,3706,0,366,0,0,0,3340
