CA_MPA_Name_Short,year,y,mpa,reference,Diff,lnDiff,resp,time,HW,BA_HW,type,Location,Hectares,source,BA
Campus Point SMCA,2019,Macrocystis pyrifera,0.31126760563380285,0.7640845070422536,0.41502911208151383,-0.8794066116177972,Den,7,N,A,SMCA,ML,2734.933446,LTER,After
Campus Point SMCA,2020,Macrocystis pyrifera,0.23380281690140847,0.22676056338028172,1.029744199881023,0.02931042176759351,Den,8,N,A,SMCA,ML,2734.933446,LTER,After
Campus Point SMCA,2021,Macrocystis pyrifera,0.2267605633802817,0.12323943661971833,1.776955602536998,0.5749015643567373,Den,9,N,A,SMCA,ML,2734.933446,LTER,After
Campus Point SMCA,2022,Macrocystis pyrifera,0.13380281690140844,0.12488262910798122,1.066132962060564,0.06403804785348578,Den,10,N,A,SMCA,ML,2734.933446,LTER,After
Campus Point SMCA,2023,Macrocystis pyrifera,1,0.3171361502347418,3.0873995407577497,1.1273291640183458,Den,11,N,A,SMCA,ML,2734.933446,LTER,After
Campus Point SMCA,2009,Mesocentrotus franciscanus,0,0.17460317460317462,0.05417024935511607,-2.915623426127132,Den,0,N,B,SMCA,ML,2734.933446,LTER,Before
Campus Point SMCA,2010,Mesocentrotus franciscanus,1,0.38095238095238093,2.5834348355663828,0.9491198451122543,Den,0,N,B,SMCA,ML,2734.933446,LTER,Before
Campus Point SMCA,2011,Mesocentrotus franciscanus,0.2312925170068027,0.1746031746031746,1.307087581378209,0.26780144186775373,Den,0,N,B,SMCA,ML,2734.933446,LTER,Before
Campus Point SMCA,2012,Mesocentrotus franciscanus,0.7619047619047619,0.126984126984127,5.6349942062572405,1.7289961193203576,Den,0,N,B,SMCA,ML,2734.933446,LTER,Before
Campus Point SMCA,2013,Mesocentrotus franciscanus,0.6394557823129252,0.4126984126984127,1.53645190708653,0.4294758017968975,Den,1,N,B,SMCA,ML,2734.933446,LTER,After
Campus Point SMCA,2001,Mesocentrotus franciscanus,0.047619047619047616,0.253968253968254,0.2182802164762477,-1.521975644928077,Den,0,N,B,SMCA,ML,2734.933446,LTER,Before
Campus Point SMCA,2002,Mesocentrotus franciscanus,0,0.2698412698412699,0.03573454339194554,-3.3316374560063378,Den,0,N,B,SMCA,ML,2734.933446,LTER,Before
Campus Point SMCA,2003,Mesocentrotus franciscanus,0,0.14285714285714285,0.06542056074766356,-2.7269186854065928,Den,0,N,B,SMCA,ML,2734.933446,LTER,Before
Campus Point SMCA,2004,Mesocentrotus franciscanus,0,0.126984126984127,0.07300115874855155,-2.6172799646918956,Den,0,N,B,SMCA,ML,2734.933446,LTER,Before
Campus Point SMCA,2005,Mesocentrotus franciscanus,0,0.09523809523809523,0.09502262443438915,-2.35364026379433,Den,0,N,B,SMCA,ML,2734.933446,LTER,Before
Campus Point SMCA,2006,Mesocentrotus franciscanus,0,0.06349206349206349,0.13606911447084236,-1.9945923276947013,Den,0,N,B,SMCA,ML,2734.933446,LTER,Before
Campus Point SMCA,2007,Mesocentrotus franciscanus,0,0.11111111111111112,0.08256880733944955,-2.4941233048929243,Den,0,N,B,SMCA,ML,2734.933446,LTER,Before
Campus Point SMCA,2008,Mesocentrotus franciscanus,0,0.2380952380952381,0.04030710172744721,-3.211227604029944,Den,0,N,B,SMCA,ML,2734.933446,LTER,Before
Campus Point SMCA,2016,Strongylocentrotus purpuratus,0.09951845906902088,0.04119850187265918,2.139094994252273,0.7603828397042705,Den,4,Y,D,SMCA,ML,2734.933446,LTER,After
Campus Point SMCA,2017,Strongylocentrotus purpuratus,0.08346709470304976,0.016853932584269662,3.480573819485953,1.2471971708502958,Den,5,N,A,SMCA,ML,2734.933446,LTER,After
Campus Point SMCA,2012,Macrocystis pyrifera,0.09577464788732394,0.0903755868544601,1.0537885874649204,0.05239184884725385,Den,0,N,B,SMCA,ML,2734.933446,LTER,Before
Campus Point SMCA,2013,Macrocystis pyrifera,0.37183098591549296,0.046009389671361506,6.8172673931265715,1.919458716068859,Den,1,N,B,SMCA,ML,2734.933446,LTER,After
Campus Point SMCA,2014,Macrocystis pyrifera,0.23521126760563382,0.2366197183098592,0.9942889777270131,-0.005727392517662865,Den,2,Y,D,SMCA,ML,2734.933446,LTER,After
Campus Point SMCA,2014,Mesocentrotus franciscanus,0.09523809523809525,0.25396825396825395,0.3986770895971137,-0.9196034890070651,Den,2,Y,D,SMCA,ML,2734.933446,LTER,After
Campus Point SMCA,2015,Mesocentrotus franciscanus,0.04081632653061224,0.14285714285714285,0.3324432576769025,-1.1012860870525119,Den,3,Y,D,SMCA,ML,2734.933446,LTER,After
Campus Point SMCA,2016,Mesocentrotus franciscanus,0.013605442176870748,0.031746031746031744,0.5654535578489951,-0.570127112618109,Den,4,Y,D,SMCA,ML,2734.933446,LTER,After
Campus Point SMCA,2017,Mesocentrotus franciscanus,0.013605442176870748,0.031746031746031744,0.5654535578489951,-0.570127112618109,Den,5,N,A,SMCA,ML,2734.933446,LTER,After
Campus Point SMCA,2012,Strongylocentrotus purpuratus,0.9085072231139648,0.1947565543071161,4.485850165930649,1.5009280351680871,Den,0,N,B,SMCA,ML,2734.933446,LTER,Before
Campus Point SMCA,2013,Strongylocentrotus purpuratus,0.27768860353130015,0.2902621722846442,0.9581246992997025,-0.042777343198557874,Den,1,N,B,SMCA,ML,2734.933446,LTER,After
Campus Point SMCA,2014,Strongylocentrotus purpuratus,0.26003210272873195,0.16104868913857678,1.5786856016766242,0.4565926031469578,Den,2,Y,D,SMCA,ML,2734.933446,LTER,After
Campus Point SMCA,2015,Strongylocentrotus purpuratus,0.10593900481540931,0.07677902621722847,1.3360256489302669,0.28969927323126693,Den,3,Y,D,SMCA,ML,2734.933446,LTER,After
Campus Point SMCA,2002,Strongylocentrotus purpuratus,0.12359550561797757,0.28464419475655434,0.45341299097495874,-0.7909518889703508,Den,0,N,B,SMCA,ML,2734.933446,LTER,Before
Campus Point SMCA,2003,Strongylocentrotus purpuratus,0.03932584269662922,0.1722846441947566,0.27059790425313335,-1.3071213080901734,Den,0,N,B,SMCA,ML,2734.933446,LTER,Before
Campus Point SMCA,2004,Strongylocentrotus purpuratus,0.011235955056179777,0.2322097378277154,0.08767589299520642,-2.434108297718841,Den,0,N,B,SMCA,ML,2734.933446,LTER,Before
Campus Point SMCA,2005,Strongylocentrotus purpuratus,0.0056179775280898875,0.2883895131086143,0.05234090623823269,-2.949977067581565,Den,0,N,B,SMCA,ML,2734.933446,LTER,Before
Campus Point SMCA,2006,Strongylocentrotus purpuratus,0,0.1797752808988764,0.0526939017169923,-2.9432555470756605,Den,0,N,B,SMCA,ML,2734.933446,LTER,Before
Campus Point SMCA,2015,Macrocystis pyrifera,0.5802816901408452,0.2070422535211268,2.719662556781311,1.0005078126049558,Den,3,Y,D,SMCA,ML,2734.933446,LTER,After
Campus Point SMCA,2016,Macrocystis pyrifera,0.4112676056338029,0.45187793427230055,0.9120756251270583,-0.09203237005722745,Den,4,Y,D,SMCA,ML,2734.933446,LTER,After
Campus Point SMCA,2017,Macrocystis pyrifera,0.19859154929577466,0.15281690140845072,1.2811418685121105,0.24775176503547586,Den,5,N,A,SMCA,ML,2734.933446,LTER,After
Campus Point SMCA,2010,Strongylocentrotus purpuratus,1,0.37265917602996257,2.6394244885974354,0.9705608966500853,Den,0,N,B,SMCA,ML,2734.933446,LTER,Before
Campus Point SMCA,2011,Strongylocentrotus purpuratus,0.7945425361155699,0.2172284644194757,3.5406767289081444,1.2643178752339561,Den,0,N,B,SMCA,ML,2734.933446,LTER,Before
Campus Point SMCA,2006,Macrocystis pyrifera,0.16126760563380282,0.3350469483568075,0.4963602966188177,-0.7004532114878201,Den,0,N,B,SMCA,ML,2734.933446,LTER,Before
Campus Point SMCA,2007,Macrocystis pyrifera,0.19652582159624415,0.16471048513302036,1.182103188821211,0.16729521536061664,Den,0,N,B,SMCA,ML,2734.933446,LTER,Before
Campus Point SMCA,2001,Strongylocentrotus purpuratus,0.15168539325842698,0.4794007490636704,0.3303742251473177,-1.1075292514336685,Den,0,N,B,SMCA,ML,2734.933446,LTER,Before
Campus Point SMCA,2009,Macrocystis pyrifera,0.15281690140845072,0.15610328638497656,0.9802148106274731,-0.0199835368192982,Den,0,N,B,SMCA,ML,2734.933446,LTER,Before
Campus Point SMCA,2010,Macrocystis pyrifera,0.01971830985915493,0.3795774647887324,0.07628344179320319,-2.573299378748637,Den,0,N,B,SMCA,ML,2734.933446,LTER,Before
Campus Point SMCA,2011,Macrocystis pyrifera,0.37887323943661977,0.1544600938967136,2.3645446759920072,0.8605854774007775,Den,0,N,B,SMCA,ML,2734.933446,LTER,Before
Campus Point SMCA,2009,Strongylocentrotus purpuratus,0.39887640449438205,0.2359550561797753,1.6624029237094564,0.5082641000892969,Den,0,N,B,SMCA,ML,2734.933446,LTER,Before
Campus Point SMCA,2003,Macrocystis pyrifera,0.13720657276995304,0.4449921752738654,0.3235364930866066,-1.128443364335085,Den,0,N,B,SMCA,ML,2734.933446,LTER,Before
Campus Point SMCA,2007,Strongylocentrotus purpuratus,0,0.200374531835206,0.047534270963147586,-3.0463043341321834,Den,0,N,B,SMCA,ML,2734.933446,LTER,Before
Campus Point SMCA,2008,Strongylocentrotus purpuratus,0.06179775280898877,0.21348314606741572,0.3212669683257919,-1.1354828244764372,Den,0,N,B,SMCA,ML,2734.933446,LTER,Before
Campus Point SMCA,2001,Macrocystis pyrifera,0.12582159624413145,0.11051643192488263,1.126996493961823,0.11955612410499467,Den,0,N,B,SMCA,ML,2734.933446,LTER,Before
Campus Point SMCA,2008,Macrocystis pyrifera,0.08380281690140846,0.41901408450704225,0.21864740643466843,-1.520294862914718,Den,0,N,B,SMCA,ML,2734.933446,LTER,Before
Campus Point SMCA,2004,Macrocystis pyrifera,0.18920187793427232,0.28530516431924885,0.6745627980922099,-0.3936905044921613,Den,0,N,B,SMCA,ML,2734.933446,LTER,Before
Campus Point SMCA,2005,Macrocystis pyrifera,0.1288732394366197,0.13252738654147106,0.9743617897337358,-0.025972596943864227,Den,0,N,B,SMCA,ML,2734.933446,LTER,Before
Campus Point SMCA,2002,Macrocystis pyrifera,0.25880281690140844,0.12705007824726136,1.9613474165001423,0.6736316944498617,Den,0,N,B,SMCA,ML,2734.933446,LTER,Before
Naples SMCA,2022,Panulirus interruptus,0,0,1,0,Den,10,N,A,SMCA,ML,673.8031024,LTER,After
Naples SMCA,2019,Panulirus interruptus,0,0,1,0,Den,7,N,A,SMCA,ML,673.8031024,LTER,After
Naples SMCA,2020,Panulirus interruptus,0.42857142857142866,0,43.85714285714287,3.7809375985318843,Den,8,N,A,SMCA,ML,673.8031024,LTER,After
Naples SMCA,2016,Panulirus interruptus,0.14285714285714288,0,15.285714285714288,2.726918685406593,Den,4,Y,D,SMCA,ML,673.8031024,LTER,After
Naples SMCA,2023,Panulirus interruptus,0,0,1,0,Den,11,N,A,SMCA,ML,673.8031024,LTER,After
Naples SMCA,2016,Mesocentrotus franciscanus,0.1902834008097166,0.016194331983805668,7.6460587326120555,2.034190316726808,Den,4,Y,D,SMCA,ML,673.8031024,LTER,After
Naples SMCA,2017,Mesocentrotus franciscanus,0.09716599190283401,0.11336032388663966,0.8687233344273056,-0.14073057675860765,Den,5,N,A,SMCA,ML,673.8031024,LTER,After
Naples SMCA,2021,Panulirus interruptus,0.14285714285714288,0,15.285714285714288,2.726918685406593,Den,9,N,A,SMCA,ML,673.8031024,LTER,After
Naples SMCA,2015,Mesocentrotus franciscanus,0.2834008097165992,0.1349527665317139,2.0241132110604227,0.7051316841793441,Den,3,Y,D,SMCA,ML,673.8031024,LTER,After
Naples SMCA,2013,Panulirus interruptus,0,0,1,0,Den,1,N,B,SMCA,ML,673.8031024,LTER,After
Naples SMCA,2014,Panulirus interruptus,0.28571428571428575,0,29.571428571428577,3.386808644210056,Den,2,Y,D,SMCA,ML,673.8031024,LTER,After
Naples SMCA,2015,Panulirus interruptus,1,0,101,4.61512051684126,Den,3,Y,D,SMCA,ML,673.8031024,LTER,After
Naples SMCA,2023,Mesocentrotus franciscanus,0.2510121457489879,0.059379217273954114,3.7621085391947098,1.3249795819232253,Den,11,N,A,SMCA,ML,673.8031024,LTER,After
Naples SMCA,2017,Panulirus interruptus,0,0,1,0,Den,5,N,A,SMCA,ML,673.8031024,LTER,After
Naples SMCA,2018,Panulirus interruptus,0,0,1,0,Den,6,N,A,SMCA,ML,673.8031024,LTER,After
Naples SMCA,2013,Mesocentrotus franciscanus,0.6963562753036437,0.5398110661268556,1.2847254608379766,0.25054504636762587,Den,1,N,B,SMCA,ML,673.8031024,LTER,After
Naples SMCA,2014,Mesocentrotus franciscanus,0.5587044534412956,0.3346828609986505,1.6499353979875493,0.5007361344111823,Den,2,Y,D,SMCA,ML,673.8031024,LTER,After
Naples SMCA,2007,Panulirus interruptus,0,0,1,0,Den,0,N,B,SMCA,ML,673.8031024,LTER,Before
Naples SMCA,2008,Panulirus interruptus,0,0,1,0,Den,0,N,B,SMCA,ML,673.8031024,LTER,Before
Naples SMCA,2009,Panulirus interruptus,0,0,1,0,Den,0,N,B,SMCA,ML,673.8031024,LTER,Before
Naples SMCA,2018,Mesocentrotus franciscanus,0.5789473684210527,0.06477732793522269,7.876015159718462,2.063822085574222,Den,6,N,A,SMCA,ML,673.8031024,LTER,After
Naples SMCA,2019,Mesocentrotus franciscanus,0.3279352226720648,0.05398110661268556,5.2817970892216834,1.664266397616728,Den,7,N,A,SMCA,ML,673.8031024,LTER,After
Naples SMCA,2020,Mesocentrotus franciscanus,0.15789473684210528,0.10796221322537113,1.4232925294588723,0.35297287033400326,Den,8,N,A,SMCA,ML,673.8031024,LTER,After
Naples SMCA,2021,Mesocentrotus franciscanus,0.1417004048582996,0.10796221322537113,1.2860084658505893,0.2515432088813092,Den,9,N,A,SMCA,ML,673.8031024,LTER,After
Naples SMCA,2022,Mesocentrotus franciscanus,0.1619433198380567,0.026990553306342778,4.648303538854433,1.5365023226785952,Den,10,N,A,SMCA,ML,673.8031024,LTER,After
Naples SMCA,2009,Mesocentrotus franciscanus,0.4939271255060729,0.11875843454790826,3.913740698040037,1.3644936169172412,Den,0,N,B,SMCA,ML,673.8031024,LTER,Before
Naples SMCA,2010,Mesocentrotus franciscanus,0.5870445344129556,0.18893387314439947,3.0012210840512856,1.0990192338717724,Den,0,N,B,SMCA,ML,673.8031024,LTER,Before
Naples SMCA,2011,Mesocentrotus franciscanus,0.45344129554655876,0.14574898785425103,2.9755653756173643,1.0904340631661813,Den,0,N,B,SMCA,ML,673.8031024,LTER,Before
Naples SMCA,2012,Mesocentrotus franciscanus,1,0.26450742240215924,3.6793176343345952,1.3027273095348593,Den,0,N,B,SMCA,ML,673.8031024,LTER,Before
Naples SMCA,2007,Strongylocentrotus purpuratus,0.26347305389221554,0.011405759908753922,12.77567603570001,2.5475430533354193,Den,0,N,B,SMCA,ML,673.8031024,LTER,Before
Naples SMCA,2008,Strongylocentrotus purpuratus,0.4918733960650128,0.046193327630453376,8.931191962246917,2.189549864396065,Den,0,N,B,SMCA,ML,673.8031024,LTER,Before
Naples SMCA,2009,Strongylocentrotus purpuratus,0.45081266039349865,0.13972055888223553,3.077818195669148,1.1242209679377184,Den,0,N,B,SMCA,ML,673.8031024,LTER,Before
Naples SMCA,2010,Strongylocentrotus purpuratus,0.3165098374679213,0.19560878243512972,1.5880150332145284,0.4624848295399131,Den,0,N,B,SMCA,ML,673.8031024,LTER,Before
Naples SMCA,2010,Panulirus interruptus,0,0,1,0,Den,0,N,B,SMCA,ML,673.8031024,LTER,Before
Naples SMCA,2011,Panulirus interruptus,0,0,1,0,Den,0,N,B,SMCA,ML,673.8031024,LTER,Before
Naples SMCA,2012,Panulirus interruptus,0,0,1,0,Den,0,N,B,SMCA,ML,673.8031024,LTER,Before
Naples SMCA,2007,Mesocentrotus franciscanus,0.3927125506072875,0.032388663967611336,9.500477554918817,2.251342066281877,Den,0,N,B,SMCA,ML,673.8031024,LTER,Before
Naples SMCA,2008,Mesocentrotus franciscanus,0.3400809716599191,0.05398110661268556,5.471630457709344,1.6995766447264216,Den,0,N,B,SMCA,ML,673.8031024,LTER,Before
Naples SMCA,2016,Strongylocentrotus purpuratus,0.016253207869974334,0.029084687767322495,0.6717005909389363,-0.39794258694353535,Den,4,Y,D,SMCA,ML,673.8031024,LTER,After
Naples SMCA,2017,Strongylocentrotus purpuratus,0.02737382378100941,0.04391217564870259,0.6932353096736659,-0.3663857852283833,Den,5,N,A,SMCA,ML,673.8031024,LTER,After
Naples SMCA,2018,Strongylocentrotus purpuratus,0.21428571428571427,0.07299686341602508,2.7023396433847533,0.9941179323728815,Den,6,N,A,SMCA,ML,673.8031024,LTER,After
Naples SMCA,2019,Strongylocentrotus purpuratus,0.18862275449101795,0.07356715141146278,2.37680417647661,0.8657568023494233,Den,7,N,A,SMCA,ML,673.8031024,LTER,After
Naples SMCA,2020,Strongylocentrotus purpuratus,0.14456800684345594,0.11234673510122611,1.263360290861631,0.23377506861146516,Den,8,N,A,SMCA,ML,673.8031024,LTER,After
Naples SMCA,2021,Strongylocentrotus purpuratus,0.1347305389221557,0.10835471913316223,1.2228539764377095,0.2011874517332989,Den,9,N,A,SMCA,ML,673.8031024,LTER,After
Naples SMCA,2022,Strongylocentrotus purpuratus,0.19033361847733105,0.10892500712859994,1.6845373678279427,0.5214909669535043,Den,10,N,A,SMCA,ML,673.8031024,LTER,After
Naples SMCA,2023,Strongylocentrotus purpuratus,0.2395209580838323,0.09181636726546906,2.450695941972162,0.8963720421676366,Den,11,N,A,SMCA,ML,673.8031024,LTER,After
Naples SMCA,2011,Strongylocentrotus purpuratus,0.16295979469632163,0.1853435985172512,0.8854131694571357,-0.12170088477490817,Den,0,N,B,SMCA,ML,673.8031024,LTER,Before
Naples SMCA,2012,Strongylocentrotus purpuratus,0.14114627887082976,0.07242657542058739,1.8337080983844745,0.6063401999805684,Den,0,N,B,SMCA,ML,673.8031024,LTER,Before
Naples SMCA,2013,Strongylocentrotus purpuratus,0.06971770744225834,0.0279441117764471,2.1009243255429473,0.7423774029100227,Den,1,N,B,SMCA,ML,673.8031024,LTER,After
Naples SMCA,2014,Strongylocentrotus purpuratus,0.06159110350727117,0.08782435129740518,0.7318331535838168,-0.3122027232638769,Den,2,Y,D,SMCA,ML,673.8031024,LTER,After
Naples SMCA,2015,Strongylocentrotus purpuratus,0.037639007698887936,0.037639007698887936,1,0,Den,3,Y,D,SMCA,ML,673.8031024,LTER,After
Naples SMCA,2001,Panulirus interruptus,0,0,1,0,Den,0,N,B,SMCA,ML,673.8031024,LTER,Before
Naples SMCA,2002,Panulirus interruptus,0,0,1,0,Den,0,N,B,SMCA,ML,673.8031024,LTER,Before
Naples SMCA,2003,Panulirus interruptus,0,0,1,0,Den,0,N,B,SMCA,ML,673.8031024,LTER,Before
Naples SMCA,2004,Panulirus interruptus,0.28571428571428575,0,29.571428571428577,3.386808644210056,Den,0,N,B,SMCA,ML,673.8031024,LTER,Before
Naples SMCA,2005,Panulirus interruptus,0,0,1,0,Den,0,N,B,SMCA,ML,673.8031024,LTER,Before
Naples SMCA,2006,Panulirus interruptus,0,0,1,0,Den,0,N,B,SMCA,ML,673.8031024,LTER,Before
Naples SMCA,2001,Mesocentrotus franciscanus,0.6963562753036437,0.12955465587044535,5.061502756019727,1.6216634265630363,Den,0,N,B,SMCA,ML,673.8031024,LTER,Before
Naples SMCA,2002,Mesocentrotus franciscanus,0.51417004048583,0.026990553306342778,14.170375775264505,2.651153572423971,Den,0,N,B,SMCA,ML,673.8031024,LTER,Before
Naples SMCA,2003,Mesocentrotus franciscanus,0.25101214574898784,0.026990553306342778,7.056183874498358,1.953904377675944,Den,0,N,B,SMCA,ML,673.8031024,LTER,Before
Naples SMCA,2004,Mesocentrotus franciscanus,0.5101214574898786,0.005398110661268557,33.778264680105174,3.5198175388376436,Den,0,N,B,SMCA,ML,673.8031024,LTER,Before
Naples SMCA,2005,Mesocentrotus franciscanus,0.23076923076923078,0.010796221322537112,11.577547047371837,2.449067623054588,Den,0,N,B,SMCA,ML,673.8031024,LTER,Before
Naples SMCA,2006,Mesocentrotus franciscanus,0.5910931174089069,0.010796221322537112,28.903958468526934,3.36397855696799,Den,0,N,B,SMCA,ML,673.8031024,LTER,Before
Naples SMCA,2001,Strongylocentrotus purpuratus,0.5419161676646707,0.162874251497006,3.1925874610322134,1.1608317043307292,Den,0,N,B,SMCA,ML,673.8031024,LTER,Before
Naples SMCA,2002,Strongylocentrotus purpuratus,0.29127459366980324,0.009694895922440832,15.297089908788186,2.7276626082677,Den,0,N,B,SMCA,ML,673.8031024,LTER,Before
Naples SMCA,2003,Strongylocentrotus purpuratus,0.0855431993156544,0.0022811519817507835,7.779661016949152,2.0515127661548256,Den,0,N,B,SMCA,ML,673.8031024,LTER,Before
Naples SMCA,2004,Strongylocentrotus purpuratus,0.11420017108639863,0.003421727972626175,9.253664754620777,2.225019662750655,Den,0,N,B,SMCA,ML,673.8031024,LTER,Before
Naples SMCA,2005,Strongylocentrotus purpuratus,0.04961505560307955,0.005702879954376962,3.7964408934083886,1.3340640208441468,Den,0,N,B,SMCA,ML,673.8031024,LTER,Before
Naples SMCA,2006,Strongylocentrotus purpuratus,0.15012831479897348,0,16.01283147989735,2.773390368329261,Den,0,N,B,SMCA,ML,673.8031024,LTER,Before
Naples SMCA,2001,Macrocystis pyrifera,7.561436672967863e-4,0.10820055810604015,0.09099909374071846,-2.396905731408081,Den,0,N,B,SMCA,ML,673.8031024,LTER,Before
Naples SMCA,2002,Macrocystis pyrifera,0.03820775947430012,0.36735979836168875,0.1277501198686097,-2.0576791115926207,Den,0,N,B,SMCA,ML,673.8031024,LTER,Before
Naples SMCA,2003,Macrocystis pyrifera,0.24099828967503822,0.19516908212560385,1.2233728740930754,0.20161169502294798,Den,0,N,B,SMCA,ML,673.8031024,LTER,Before
